Workload,Estimation,MAE,EA,MAPE,TAU
M1,1 - User,"55269,9711111111","0,112060115","2897,0624090851","-0,4361295078"
M1,2 - Actual,0,1,0,1
M1,3 - Heuristic,"3639,1922222222","0,261731158","49,4027217976","0,3449759697"
M1,4 - DT,"3257,4977777778","0,5789328819","3,9003849576","0,6659424259"
M1,5 - RNP,"4751,2094444445","0,5574473779","15,6497394044","0,553778507"
M1,6 - KNN,"3484,4477777778","0,293895045","94,6411287242","0,2518056155"
M1,7 - LLM,"379,8916666667","0,6920214065","5,377507435","0,7729219739"
M2,1 - User,"55802,1328515842","0,1118767993","2941,7153907948","-0,4408507891"
M2,2 - Actual,0,1,0,1
M2,3 - Heuristic,"3707,1284046693","0,2652340235","50,1277923535","0,3166682631"
M2,4 - DT,"3561,9527515286","0,5838042608","2,3496630683","0,6786761026"
M2,5 - RNP,"4851,1395219567","0,572457975","9,7678043932","0,5714547071"
M2,6 - KNN,"3650,9627570873","0,2914970547","95,4008699565","0,2392808627"
M2,7 - LLM,"344,2568093385","0,6908497763","3,3318573133","0,7648914668"
M3,1 - User,"55844,5472222222","0,1086446822","2916,7164357529","-0,4381518424"
M3,2 - Actual,0,1,0,1
M3,3 - Heuristic,"3794,8122222222","0,2505500482","53,2353571977","0,306684569"
M3,4 - DT,"3411,3555555556","0,5757918334","4,0189244581","0,6552670332"
M3,5 - RNP,"4680,2855555556","0,5609266571","11,0776343146","0,545745459"
M3,6 - KNN,"3606,8027777778","0,2790251231","94,0270604556","0,2338490105"
M3,7 - LLM,"450,42","0,6869660207","0,4758931928","0,755207564"
M4,1 - User,"55883,3094444444","0,1115099753","2934,539797164","-0,4262547369"
M4,2 - Actual,0,1,0,1
M4,3 - Heuristic,"3868,0361111111","0,2561101245","58,5724297717","0,3206020647"
M4,4 - DT,"3315,7255555556","0,5801313537","2,9756547643","0,6751478603"
M4,5 - RNP,"4376,0655555556","0,5618954855","11,8618340902","0,5583424768"
M4,6 - KNN,"3700,6772222222","0,2803200248","91,297206182","0,2418881172"
M4,7 - LLM,"357,5988888889","0,7018123479","3,1941786468","0,755299813"
M5,1 - User,"56258,3244444444","0,1142563179","2933,5994295078","-0,4125026257"
M5,2 - Actual,0,1,0,1
M5,3 - Heuristic,"4251,0838888889","0,255522012","49,5619330891","0,3558356361"
M5,4 - DT,"3951,1011111111","0,5687620987","3,9405058469","0,6714820101"
M5,5 - RNP,"5294,2238888889","0,5618435638","10,4087739156","0,5575948946"
M5,6 - KNN,"3876,3422222222","0,2867551122","92,1966939709","0,2654370635"
M5,7 - LLM,"480,7905555556","0,6883474052","1,8549995549","0,7684571142"
F1,1 - User,"12734,3253333333","0,4155103271","16,7128975087","0,6846013085"
F1,2 - Actual,0,1,0,1
F1,3 - Heuristic,"4362,7567222222","0,527930993","5,916220924","0,6024943717"
F1,4 - DT,"2732,9202777778","0,6862125823","0,8132486727","0,7402573394"
F1,5 - RNP,"3257,819","0,6352332438","1,9037712963","0,6846290389"
F1,6 - KNN,"2307,3692777778","0,729892962","4,4771974817","0,7972983469"
F1,7 - LLM,"1703,4358333333","0,8511427729","2,17757876","0,8624044022"
F2,1 - User,"12829,9084444444","0,4164435509","14,6703945775","0,684215495"
F2,2 - Actual,0,1,0,1
F2,3 - Heuristic,"4416,0008888889","0,5331548708","5,2335311036","0,6110680883"
F2,4 - DT,"2742,409","0,6875805769","1,3002735303","0,7429007394"
F2,5 - RNP,"3347,3306666667","0,6313414635","1,5962588377","0,6815591373"
F2,6 - KNN,"2294,5396111111","0,7347290111","3,8966401115","0,8034478637"
F2,7 - LLM,"1659,8927222222","0,8511603622","1,6340459546","0,8632070428"
F3,1 - User,"12895,5240555556","0,4179529143","19,5875837572","0,6821783437"
F3,2 - Actual,0,1,0,1
F3,3 - Heuristic,"4512,4888333333","0,5332928237","6,9104265502","0,6043385887"
F3,4 - DT,"2693,4749444445","0,687854268","1,2158729492","0,7443324675"
F3,5 - RNP,"3244,6826666667","0,6364536564","2,2379865974","0,6875508571"
F3,6 - KNN,"2325,8691111111","0,7349487087","5,0947740973","0,7993654834"
F3,7 - LLM,"1647,7274444445","0,8568226948","2,2006339023","0,8667254056"
F4,1 - User,"12982,5223333333","0,4163388654","13,7874905327","0,6817940056"
F4,2 - Actual,0,1,0,1
F4,3 - Heuristic,"4372,4495555556","0,5329601243","4,6578801386","0,60738118"
F4,4 - DT,"2740,8926666667","0,6872077593","1,2666444299","0,739923613"
F4,5 - RNP,"3336,8118888889","0,6323178959","2,0659311706","0,67894893"
F4,6 - KNN,"2306,1578333333","0,7327054861","3,5582519601","0,8005041315"
F4,7 - LLM,"1685,1596666667","0,8536208729","1,5510902921","0,8653470723"
F5,1 - User,"13280,8012222222","0,4166234888","17,3422149907","0,6777781613"
F5,2 - Actual,0,1,0,1
F5,3 - Heuristic,"4449,4246666667","0,5318720312","5,805197081","0,6038318029"
F5,4 - DT,"2850,4986111111","0,6860858553","1,3393565976","0,7389977861"
F5,5 - RNP,"3426,7531111111","0,6345454008","2,3049258739","0,6811183583"
F5,6 - KNN,"2362,0376111111","0,7310671497","4,3698030323","0,7979598436"
F5,7 - LLM,"1666,7486111111","0,8513168558","2,0248476521","0,8619052102"
